domain,country_code,country_name,isp,asn,exit_node_ip,exit_node_isp,ech_grease,error,curl_exit_code,curl_error_name,dns_lookup_ms,tcp_connection_ms,tls_handshake_ms,server_time_ms,total_time_ms,http_status
www.google.com,BB,Barbados,flow,14813,192.235.61.213,flow,false,,0,OK,2,3,727,1020,1091,200
www.google.com,BD,Bangladesh,robi,24432,42.0.4.223,robi,true,,0,OK,2,4,1996,2646,2756,200
www.google.com,BD,Bangladesh,banglalink digital communications ltd.,45245,43.245.120.87,banglalink digital communications ltd.,false,,0,OK,84,86,1069,1680,1751,200
www.google.com,BD,Bangladesh,telenor,24389,37.111.221.44,telenor,true,,0,OK,1,3,1048,1680,1764,200
www.google.com,BY,Belarus,mts belarus,25106,46.56.62.13,mts belarus,false,,0,OK,2,3,588,1211,1429,200
www.google.com,BD,Bangladesh,banglalink digital communications ltd.,45245,43.245.120.87,banglalink digital communications ltd.,true,,0,OK,2,4,1738,2248,2316,200
www.google.com,BY,Belarus,elnet,,,,true,,56,CURLE_RECV_ERROR,2,3,0,0,66,0
www.google.com,BY,Belarus,elnet,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,67,0
www.google.com,BY,Belarus,unitary enterprise velcom,42772,46.56.176.47,unitary enterprise velcom,true,,0,OK,2,4,596,1424,1746,200
www.google.com,BD,Bangladesh,teletalk bangladesh,45925,103.230.107.39,teletalk bangladesh,false,,0,OK,1,3,964,2075,2499,200
www.google.com,BH,Bahrain,batelco,5416,193.188.123.88,batelco,true,,0,OK,2,4,1973,3601,4522,200
www.google.com,BY,Belarus,a1 belarus,42772,151.249.185.25,a1 belarus,false,,0,OK,1,3,706,1360,1486,200
www.google.com,BY,Belarus,mts belarus,25106,46.56.62.13,mts belarus,true,,0,OK,1,3,1033,1762,1930,200
www.google.com,BY,Belarus,isp garant-catv-gomel,42772,151.249.218.236,isp garant-catv-gomel,true,,0,OK,2,3,635,1307,1476,200
www.google.com,BY,Belarus,best cjsc,44087,109.126.176.48,best cjsc,false,,0,OK,1,3,1062,1838,1997,200
www.google.com,BY,Belarus,unitary enterprise velcom,42772,46.56.176.47,unitary enterprise velcom,false,,0,OK,2,3,860,1612,1694,200
www.google.com,BY,Belarus,a1 belarus,42772,151.249.185.25,a1 belarus,true,,0,OK,3,4,962,1667,1755,200
www.google.com,BE,Belgium,lycamobile,31404,217.179.139.5,lycamobile,false,,0,OK,1,3,483,734,819,200
www.google.com,BY,Belarus,isp garant-catv-gomel,42772,151.249.218.236,isp garant-catv-gomel,false,,0,OK,1,3,1183,1884,1952,200
www.google.com,BY,Belarus,unitary enterprise a1,42772,151.249.137.216,unitary enterprise a1,true,,0,OK,1,3,735,1337,1430,200
www.google.com,BE,Belgium,belgacom international carrier services,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,74,0
www.google.com,BE,Belgium,digi belgium,,,,false,,56,CURLE_RECV_ERROR,2,4,0,0,68,0
www.google.com,BE,Belgium,belgacom international carrier services,,,,true,,56,CURLE_RECV_ERROR,2,3,0,0,70,0
www.google.com,BE,Belgium,digi belgium,,,,true,,56,CURLE_RECV_ERROR,2,4,0,0,78,0
www.google.com,BD,Bangladesh,teletalk bangladesh,45925,103.230.107.39,teletalk bangladesh,true,,0,OK,2,3,2049,2678,3637,200
www.google.com,BE,Belgium,telenet,6848,188.188.79.177,telenet,false,,0,OK,2,4,738,1196,1395,200
www.google.com,BE,Belgium,orange belgium,47377,94.109.98.245,orange belgium,true,,0,OK,2,4,578,832,891,200
www.google.com,BE,Belgium,lycamobile,31404,217.179.139.5,lycamobile,true,,0,OK,1,3,459,703,759,200
www.google.com,BE,Belgium,proximus,5432,92.48.135.6,proximus,false,,0,OK,2,3,532,837,899,200
www.google.com,BY,Belarus,unitary enterprise a1,42772,151.249.137.216,unitary enterprise a1,false,,0,OK,2,3,1011,1610,1712,200
www.google.com,BY,Belarus,gomelsky rtsc garant,42772,92.38.64.254,gomelsky rtsc garant,false,,0,OK,1,3,1076,1713,1803,200
www.google.com,BY,Belarus,best cjsc,44087,109.126.176.48,best cjsc,true,,0,OK,1,3,1938,2824,3065,200
www.google.com,BM,Bermuda,one communications bermuda,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,63,0
www.google.com,BM,Bermuda,digicel bermuda,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,66,0
www.google.com,BM,Bermuda,digicel bermuda,,,,true,,56,CURLE_RECV_ERROR,2,3,0,0,69,0
www.google.com,BM,Bermuda,paradise mobile ltd.,,,,false,,56,CURLE_RECV_ERROR,1,3,0,0,61,0
www.google.com,BM,Bermuda,one communications bermuda,,,,true,,56,CURLE_RECV_ERROR,2,3,0,0,61,0
www.google.com,BE,Belgium,telenet,6848,188.188.79.177,telenet,true,,0,OK,2,4,1269,1586,1662,200
www.google.com,BM,Bermuda,paradise mobile ltd.,,,,true,,56,CURLE_RECV_ERROR,2,4,0,0,67,0
www.google.com,BE,Belgium,orange belgium,47377,94.109.98.245,orange belgium,false,,0,OK,2,4,841,1140,1240,200
